kid_age,kid_english_level,previous_events_attended,previous_no_shows,event_category,event_target_level,event_duration_hours,event_price_tnd,distance_km,days_until_event,is_weekend,event_is_featured,weather_rain_prob,weather_temp_c,sms_reminder_sent,attended
8,A2_ELEMENTARY,9,5,FIELD_TRIP,ALL_LEVELS,3,39,2.7,15,0,0,0,29.8,1,0
7,A1_BEGINNER,22,11,ROLE_PLAY_GAMES,B1_INTERMEDIATE,2,47,12.77,14,0,0,0.687,10.8,0,0
9,A2_ELEMENTARY,18,10,ROLE_PLAY_GAMES,A2_ELEMENTARY,1,47,9.57,14,1,0,0.313,24.8,1,0
10,A1_BEGINNER,4,0,STORYTELLING_PARK,ALL_LEVELS,2,0,22.09,8,1,0,0.22,16.9,1,1
10,A2_ELEMENTARY,7,4,SPORTS_AND_ENGLISH,ALL_LEVELS,1,69,7.78,10,1,0,0.05,33.7,1,0
11,null,11,6,STORYTELLING_PARK,B1_INTERMEDIATE,1,23,-10,22,0,1,0,9.9,1,0
11,A2_ELEMENTARY,6,1,OUTDOOR_THEATER,A2_ELEMENTARY,3,73,6.84,7,0,0,0.482,NA,1,0
13,A2_ELEMENTARY,3,2,STORYTELLING_PARK,A1_BEGINNER,2,0,null,9,1,0,0.507,19.5,1,0
11,A2_ELEMENTARY,6,0,STORYTELLING_PARK,A1_BEGINNER,2.5,23,12.36,3,0,0,0.611,22.5,0,1
8,A2_ELEMENTARY,9,4,Storytelling_park,A1_BEGINNER,1,21,3.19,19,1,0,0.423,?,1,0
9,A1_BEGINNER,22,6,STORYTELLING_PARK,ALL_LEVELS,4,0,12.77,5,0,0,0.104,20.8,1,0
13,B1_INTERMEDIATE,29,3,ENGLISH_PICNIC,A2_ELEMENTARY,1,46,19.79,1,1,0,0.449,35.2,1,1
12,B1_INTERMEDIATE,22,0,ROLE_PLAY_GAMES,A2_ELEMENTARY,1,71,1.47,3,0,0,0,15.5,1,1
13,B1_INTERMEDIATE,16,9,FIELD_TRIP,B1_INTERMEDIATE,2,52,0.42,3,1,0,0,8.2,0,0
13,A2_ELEMENTARY,16,2,SPORTS_AND_ENGLISH,ALL_LEVELS,2,43,7.92,1,0,0,0,24.3,0,1
9,A1_BEGINNER,23,7,TREASURE_HUNT,A1_BEGINNER,1.5,24,1.16,8,1,0,0.302,40,0,1
12,B1_INTERMEDIATE,8,3,STORYTELLING_PARK,ALL_LEVELS,4,0,15.42,11,0,1,0.722,20.5,0,1
6,A2_ELEMENTARY,8,3,ENGLISH_PICNIC,ALL_LEVELS,2,56,12.78,12,0,1,0,20,0,0
5,A1_BEGINNER,16,5,OUTDOOR_THEATER,A2_ELEMENTARY,2.5,0,17.03,4,0,0,0.652,8.7,1,0
5,A1_BEGINNER,24,8,ARTS_AND_CRAFTS,B1_INTERMEDIATE,1,71,1.14,2,0,0,0.254,21.1,0,0
6,A1_BEGINNER,8,0,ENGLISH_PICNIC,A1_BEGINNER,2,39,2.39,17,0,0,NA,13.6,1,1
8,A1_BEGINNER,5,2,TREASURE_HUNT,B1_INTERMEDIATE,2,0,0.5,13,1,1,0.363,12.5,1,1
7,A2_ELEMENTARY,6,2,SPORTS_AND_ENGLISH,B1_INTERMEDIATE,3,0,15.24,7,1,0,0.194,15.4,0,0
5,A1_BEGINNER,30,3,English_camp_day,B1_INTERMEDIATE,2,59,NA,21,0,0,0.273,23.7,0,1
10,A2_ELEMENTARY,1,0,ARTS_AND_CRAFTS,,2,0,6.73,17,yes,0,0.394,21.4,0,1
10,A1_BEGINNER,14,1,NATURE_VOCAB_WALK,ALL_LEVELS,1.5,0,2.44,28,1,0,0.139,31.9,0,1
12,B1_INTERMEDIATE,7,1,STORYTELLING_PARK,A2_ELEMENTARY,1.5,0,9.56,2,0,0,0.552,20.5,0,0
7,A1_BEGINNER,2,1,STORYTELLING_PARK,A2_ELEMENTARY,2.5,67,13.47,12,0,0,0.249,39.1,1,0
11,B1_INTERMEDIATE,26,5,NATURE_VOCAB_WALK,A1_BEGINNER,2,0,2.3,6,0,1,0.439,7.8,0,0
11,B1_INTERMEDIATE,20,3,SPORTS_AND_ENGLISH,ALL_LEVELS,2,24,8.32,7,1,0,0.071,24.4,0,1
12,B1_INTERMEDIATE,20,10,OUTDOOR_THEATER,A2_ELEMENTARY,2,0,17.36,11,1,0,0,11.7,1,0
6,A2_ELEMENTARY,2,1,FIELD_TRIP,A1_BEGINNER,4,0,2.4,7,0,0,0.193,16.9,0,0
13,A2_ELEMENTARY,12,4, ENGLISH_CAMP_DAY ,A1_BEGINNER,1,58,4.56,9,1,0,0.428,22.6,no,0
7,A1_BEGINNER,30,15, SPORTS_AND_ENGLISH ,ALL_LEVELS,2.5,0,3.07,9,0,0,0.412,3.1,1,0
10,A2_ELEMENTARY,26,14,FIELD_TRIP,A2_ELEMENTARY,1,26,18.38,4,0,0,0.036,18.5,0,0
12,B1_INTERMEDIATE,27,1,TREASURE_HUNT,B1_INTERMEDIATE,1,0,9.82,5,1,0,0.251,27.5,1,1
10,A2_ELEMENTARY,24,8,ARTS_AND_CRAFTS,A1_BEGINNER,3,75,13.27,15,0,0,0.341,30.7,1,0
8,B1_INTERMEDIATE,22,12,STORYTELLING_PARK,null,2,0,15.71,16,0,0,0.278,20.7,0,0
12,B1_INTERMEDIATE,23,7,ENGLISH_CAMP_DAY,A2_ELEMENTARY,2,0,16.27,3,yes,0,unknown,24.5,1,1
9,A1_BEGINNER,7,2,ENGLISH_PICNIC,B1_INTERMEDIATE,1,0,13.9,2,0,0,0.578,17.2,0,0
10,A1_BEGINNER,19,8,role_play_games,A2_ELEMENTARY,4,45,0,4,0,0,0,-0.2,0,1
12,A2_ELEMENTARY,25,7,OUTDOOR_THEATER,B1_INTERMEDIATE,3,0,8.74,9,0,0,0.236,24,0,1
12,B1_INTERMEDIATE,25,14,NATURE_VOCAB_WALK,ALL_LEVELS,2,32,7.05,1,1,0,0.07,15.4,0,0
5,A1_BEGINNER,28,15,TREASURE_HUNT,A2_ELEMENTARY,2,60,3.59,10,0,0,0,25.6,0,1
9,B1_INTERMEDIATE,8,3,FIELD_TRIP,B1_INTERMEDIATE,3,70,11.15,0,0,0,0,20.3,1,0
8,B1_INTERMEDIATE,10,1,ENGLISH_CAMP_DAY,B1_INTERMEDIATE,4,0,19.79,10,0,0,0.327,16.7,0,1
10,A1_BEGINNER,24,9,FIELD_TRIP,B1_INTERMEDIATE,3,40,3.24,1,1,0,0,8.5,0,1
7,A1_BEGINNER,13,6,SPORTS_AND_ENGLISH,A2_ELEMENTARY,2,0,3.03,5,1,0,0.649,12.7,0,0
13,B1_INTERMEDIATE,18,8,ARTS_AND_CRAFTS,ALL_LEVELS,4,50,8.52,5,0,0,0.412,20.9,0,0
6,A1_BEGINNER,24,4,STORYTELLING_PARK,ALL_LEVELS,1.5,0,9.76,18,1,0,0.358,26.1,0,1
13,B1_INTERMEDIATE,13,3,ENGLISH_CAMP_DAY,A2_ELEMENTARY,4,0,6.59,14,0,0,0.359,29.6,0,0
6,A2_ELEMENTARY,3,0,SPORTS_AND_ENGLISH,B1_INTERMEDIATE,1,0,13.53,12,1,0,0.096,22.3,1,1
,B1_INTERMEDIATE,27,3,TREASURE_HUNT,A2_ELEMENTARY,2,38,10.86,9,1,0,0,31.2,0,1
12,A2_ELEMENTARY,25,0,ARTS_AND_CRAFTS,A2_ELEMENTARY,4,68,18.84,3,0,0,0.294,3.3,0,0
7,A1_BEGINNER,20,10,ROLE_PLAY_GAMES,A1_BEGINNER,2,0,2.04,0,0,0,0.32,29.8,1,0
7,A1_BEGINNER,17,4,ENGLISH_CAMP_DAY,B1_INTERMEDIATE,2.5,0,NA,10,0,0,0.089,29.7,1,1
6,A2_ELEMENTARY,9,4,field_trip,B1_INTERMEDIATE,1.5,39,7.57,9,0,0,0.156,13.1,1,0
10,B1_INTERMEDIATE,10,1,TREASURE_HUNT,B1_INTERMEDIATE,1.5,34,7.61,1,0,0,0.251,13.2,0,1
5,A2_ELEMENTARY,15,3,null,B1_INTERMEDIATE,4,78,2.33,2,1,1,0,27.3,1,1
5,A1_BEGINNER,2,0,NATURE_VOCAB_WALK,ALL_LEVELS,4,0,6.58,9,0,0,0.043,18.2,1,1
7,A2_ELEMENTARY,16,10,NATURE_VOCAB_WALK,A1_BEGINNER,2.5,80,9.99,4,1,0,0.414,20.1,0,0
6,A2_ELEMENTARY,24,3,ENGLISH_CAMP_DAY,A2_ELEMENTARY,1.5,0,13.97,4,1,0,0.617,27.2,0,1
6,A2_ELEMENTARY,28,4,FIELD_TRIP,null,4,40,3.71,9,1,0,0.343,34.7,0,1
6,A2_ELEMENTARY,11,2,ROLE_PLAY_GAMES,B1_INTERMEDIATE,1,0,21.56,3,0,0,0.131,25.1,0,0
10,B1_INTERMEDIATE,26,13,ENGLISH_CAMP_DAY,ALL_LEVELS,4,50,12.33,5,no,0,0.349,22.7,0,0
8,B1_INTERMEDIATE,23,7,OUTDOOR_THEATER,A1_BEGINNER,4,0,4.63,3,0,1,0.075,18.9,0,1
8,A1_BEGINNER,21,10,NATURE_VOCAB_WALK,B1_INTERMEDIATE,2,71,9.58,10,0,0,0,20.8,1,0
10,A1_BEGINNER,21,10,OUTDOOR_THEATER,A1_BEGINNER,2,50,1.91,10,0,0,0.502,25.3,1,0
5,A2_ELEMENTARY,16,7,FIELD_TRIP,B1_INTERMEDIATE,2.5,0,0.73,6,1,0,0.306,31.1,0,1
12,B1_INTERMEDIATE,0,0,FIELD_TRIP,A2_ELEMENTARY,3,0,12.74,18,1,1,0.322,23.6,1,0
7,A1_BEGINNER,9,2,FIELD_TRIP,ALL_LEVELS,4,25,5.36,10,1,1,0,32.2,0,0
9,A1_BEGINNER,23,0,STORYTELLING_PARK,unknown,2,0,6.53,8,1,0,0.528,4.5,1,0
9,A1_BEGINNER,11,3,ENGLISH_PICNIC,A1_BEGINNER,2,37,1.59,5,no,0,?,13.4,1,1
13,B1_INTERMEDIATE,26,8,FIELD_TRIP,A1_BEGINNER,1.5,38,8.46,11,0,0,0,29.7,1,1
13,B1_INTERMEDIATE,9,1,OUTDOOR_THEATER,B1_INTERMEDIATE,4,63,18.68,7,1,0,0.297,17.8,0,1
13,B1_INTERMEDIATE,14,5,SPORTS_AND_ENGLISH,A1_BEGINNER,2.5,15,18.59,24,1,0,0.077,33.9,0,0
6,A1_BEGINNER,20,6,arts_and_crafts,A2_ELEMENTARY,3,36,6.23,7,1,0,0.199,18.6,0,1
12,B1_INTERMEDIATE,6,1,TREASURE_HUNT,B1_INTERMEDIATE,2,23,?,19,0,0,0.025,28.2,yes,1
6,A1_BEGINNER,14,1,ROLE_PLAY_GAMES,A1_BEGINNER,2.5,71,10.64,1,1,0,0.29,19.9,1,1
11,B1_INTERMEDIATE,16,6,ENGLISH_PICNIC,N/A,1,59,7.4,9,0,0,0.467,36.3,0,0
7,A1_BEGINNER,10,4,SPORTS_AND_ENGLISH,A1_BEGINNER,1.5,0,16.31,13,0,0,0.519,16,1,0
10,A1_BEGINNER,21,2,ENGLISH_PICNIC,A2_ELEMENTARY,2,27,7.24,11,0,0,0.125,26.6,1,1
8,A1_BEGINNER,29,11,Sports_and_english,ALL_LEVELS,4,0,1.34,17,0,0,0.355,36.6,1,0
13,A2_ELEMENTARY,16,6,ENGLISH_CAMP_DAY,ALL_LEVELS,1,0,25.36,8,0,0,0.718,33.2,0,0
13,B1_INTERMEDIATE,2,1,ROLE_PLAY_GAMES,A1_BEGINNER,2.5,0,0.51,25,1,1,0.386,16.3,1,1
12,A2_ELEMENTARY,26,4,NATURE_VOCAB_WALK,ALL_LEVELS,2.5,22,9.67,9,1,0,0.417,25.3,0,1
11,B1_INTERMEDIATE,26,11,sports_and_english,B1_INTERMEDIATE,2,80,11.89,6,0,1,0,22.2,no,0
13,B1_INTERMEDIATE,15,9,ARTS_AND_CRAFTS,B1_INTERMEDIATE,1,15,3.04,7,0,0,0.044,31.5,1,0
8,A1_BEGINNER,11,2,ARTS_AND_CRAFTS,A1_BEGINNER,1,65,10.35,6,1,0,0.217,28.2,0,1
8,,14,5,STORYTELLING_PARK,A2_ELEMENTARY,1.5,0,3.94,8,0,0,0.099,41.2,1,1
9,B1_INTERMEDIATE,29,5,FIELD_TRIP,ALL_LEVELS,1.5,0,17.32,15,0,0,?,N/A,1,1
6,A2_ELEMENTARY,0,0,OUTDOOR_THEATER,A1_BEGINNER,1.5,45,8.29,10,0,0,0.318,36.3,0,0
13,B1_INTERMEDIATE,4,2,ENGLISH_CAMP_DAY,B1_INTERMEDIATE,1.5,76,3.12,0,1,0,0.108,16.2,0,0
8,unknown,26,6,Outdoor_theater,A2_ELEMENTARY,3,67,0.85,6,1,0,0.512,26.7,0,1
9,B1_INTERMEDIATE,29,4,NATURE_VOCAB_WALK,B1_INTERMEDIATE,3,60,4.08,15,0,0,0,30.8,1,1
13,A2_ELEMENTARY,25,7,OUTDOOR_THEATER,A1_BEGINNER,1.5,0,11,6,1,0,0.253,22.3,1,1
8,A1_BEGINNER,22,1,ENGLISH_PICNIC,A2_ELEMENTARY,1,36,7.36,18,1,0,0.5,30.3,0,0
8,A1_BEGINNER,30,17,FIELD_TRIP,A2_ELEMENTARY,2,35,2.47,4,0,0,0,37.4,1,0
9,A1_BEGINNER,24,6,STORYTELLING_PARK,A2_ELEMENTARY,1.5,0,1.78,0,1,1,0.398,31.8,0,0
6,A1_BEGINNER,11,4,ENGLISH_PICNIC,A1_BEGINNER,1,0,6.65,10,0,0,0.021,19.6,0,0
10,A1_BEGINNER,11,3,ROLE_PLAY_GAMES,A1_BEGINNER,3,58,16.46,3,0,1,0.808,NA,0,0
8,A2_ELEMENTARY,25,2,ENGLISH_CAMP_DAY,A1_BEGINNER,2,47,16.76,9,1,0,0.644,15.3,0,1
5,A1_BEGINNER,22,13,NATURE_VOCAB_WALK,ALL_LEVELS,3,76,6.32,8,1,0,0.365,24.5,0,0
9,B1_INTERMEDIATE,22,8, STORYTELLING_PARK ,A2_ELEMENTARY,2,75,0.03,18,0,0,0.345,12.9,0,0
11,A2_ELEMENTARY,0,0,SPORTS_AND_ENGLISH,A2_ELEMENTARY,2.5,48,10.08,7,1,0,0.1,25.1,1,1
7,A1_BEGINNER,8,1,ENGLISH_CAMP_DAY,A1_BEGINNER,1.5,0,13.12,7,0,0,0.639,23.4,1,1
6,A1_BEGINNER,22,7,SPORTS_AND_ENGLISH,A2_ELEMENTARY,2,0,9.98,10,0,0,0.391,18,1,0
7,A2_ELEMENTARY,10,1,OUTDOOR_THEATER,null,1.5,0,5.73,1,1,0,0.054,24.7,1,1
11,B1_INTERMEDIATE,26,2,ENGLISH_PICNIC,A1_BEGINNER,4,62,9.4,9,1,0,0,13.6,1,1
11,B1_INTERMEDIATE,15,1,ROLE_PLAY_GAMES,A1_BEGINNER,4,31,19.82,17,0,0,0.018,23.8,1,0
9,A1_BEGINNER,19,11,ARTS_AND_CRAFTS,A2_ELEMENTARY,1.5,0,6.03,14,1,0,0.173,21,0,0
11,A2_ELEMENTARY,0,0,FIELD_TRIP,A1_BEGINNER,2.5,57,NA,22,0,0,0.441,24.9,1,0
11,B1_INTERMEDIATE,26,1,ROLE_PLAY_GAMES,ALL_LEVELS,3,28,17.26,15,0,0,0.067,25.4,0,1
5,A1_BEGINNER,21,4,TREASURE_HUNT,A2_ELEMENTARY,3,0,4.98,8,1,0,0.186,5.2,1,0
11,B1_INTERMEDIATE,1,0,FIELD_TRIP,B1_INTERMEDIATE,2.5,76,,13,0,0,0,21.3,0,1
11,A2_ELEMENTARY,11,3,SPORTS_AND_ENGLISH,ALL_LEVELS,2.5,27,7.75,11,1,0,0.012,32.2,1,1
12,B1_INTERMEDIATE,0,0,NATURE_VOCAB_WALK,A2_ELEMENTARY,2,24,11.91,25,1,0,0.266,14,0,0
250,A2_ELEMENTARY,3,1,OUTDOOR_THEATER,A2_ELEMENTARY,2,60,7.22,5,0,1,0.105,39.3,1,1
250,A1_BEGINNER,7,3, ENGLISH_PICNIC ,ALL_LEVELS,1.5,62,9.5,1,1,1,0.295,14.5,1,1
5,A1_BEGINNER,20,6,ENGLISH_CAMP_DAY,A2_ELEMENTARY,4,0,19.25,10,0,0,0.424,35,1,0
5,?,12,1,SPORTS_AND_ENGLISH,A1_BEGINNER,2,18,1.64,10,0,1,0.411,24,0,1
11,B1_INTERMEDIATE,29,8,TREASURE_HUNT,B1_INTERMEDIATE,2,58,6.43,10,0,0,0.583,32.9,0,0
7,A2_ELEMENTARY,22,12,SPORTS_AND_ENGLISH,A1_BEGINNER,2.5,0,18.65,4,0,1,0.317,29.5,0,0
12,B1_INTERMEDIATE,11,1,FIELD_TRIP,,2,0,5.55,8,0,0,0,31.6,1,0
5,A2_ELEMENTARY,3,2,SPORTS_AND_ENGLISH,B1_INTERMEDIATE,1.5,62,1.23,6,0,0,0.163,-1.1,0,0
7,A2_ELEMENTARY,9,5,ROLE_PLAY_GAMES,A1_BEGINNER,4,20,18.72,7,1,1,0.269,19.8,1,0
7,A1_BEGINNER,1,1,ROLE_PLAY_GAMES,A1_BEGINNER,2,36,N/A,5,0,0,0.312,21.7,0,0
12,A2_ELEMENTARY,30,1,OUTDOOR_THEATER,B1_INTERMEDIATE,3,0,11.95,18,1,0,0.094,26.2,1,1
5,A1_BEGINNER,19,11,ENGLISH_CAMP_DAY,B1_INTERMEDIATE,2,0,1.54,6,1,0,0.303,34.1,1,0
13,B1_INTERMEDIATE,16,6,ARTS_AND_CRAFTS,B1_INTERMEDIATE,2,43,2.44,5,0,0,0.611,35,0,0
5,A1_BEGINNER,21,9,NATURE_VOCAB_WALK,A1_BEGINNER,3,43,15.73,9,0,0,0.261,17.3,0,0
12,B1_INTERMEDIATE,26,1,FIELD_TRIP,ALL_LEVELS,2.5,0,16.5,5,1,1,0.023,27.9,1,1
6,A1_BEGINNER,12,5,Outdoor_theater,ALL_LEVELS,2,59,15.12,16,1,0,0,25,1,1
10,B1_INTERMEDIATE,17,4,STORYTELLING_PARK,ALL_LEVELS,2,0,23.57,14,1,0,0.363,28.9,1,0
12,B1_INTERMEDIATE,30,10,OUTDOOR_THEATER,A1_BEGINNER,3,50,7.2,10,0,0,0.142,22.5,0,0
9,B1_INTERMEDIATE,25,9,OUTDOOR_THEATER,A2_ELEMENTARY,1.5,40,4.11,3,1,0,0.208,34.5,1,1
7,A1_BEGINNER,26,15,ARTS_AND_CRAFTS,ALL_LEVELS,1.5,33,9,15,1,0,0.015,19,1,1
9,B1_INTERMEDIATE,5,3,OUTDOOR_THEATER,ALL_LEVELS,1.5,0,13.63,11,1,0,0.177,29.8,0,0
8,B1_INTERMEDIATE,29,7,STORYTELLING_PARK,B1_INTERMEDIATE,2,0,18.92,17,1,0,0.339,8.9,0,1
13,,13,3,STORYTELLING_PARK,ALL_LEVELS,2,0,,3,1,0,0.36,9.4,1,1
7,A1_BEGINNER,16,8,TREASURE_HUNT,A1_BEGINNER,4,43,15.93,8,1,0,0.641,15.4,0,0
6,A1_BEGINNER,3,2,SPORTS_AND_ENGLISH,B1_INTERMEDIATE,4,76,3.34,7,0,0,0.297,21.2,0,0
9,A1_BEGINNER,15,7,ENGLISH_PICNIC,ALL_LEVELS,4,0,7.25,15,0,0,0.027,23.3,0,0
6,A1_BEGINNER,27,8,STORYTELLING_PARK,A2_ELEMENTARY,2.5,35,5.11,6,1,0,0,28.5,0,0
11,B1_INTERMEDIATE,23,8,ENGLISH_CAMP_DAY,A1_BEGINNER,2.5,66,11.06,24,1,0,0.082,38,0,1
7,A1_BEGINNER,27,11,STORYTELLING_PARK,B1_INTERMEDIATE,4,34,15.41,7,1,0,0.409,33.3,1,1
10,A2_ELEMENTARY,30,12,NATURE_VOCAB_WALK,ALL_LEVELS,4,0,99999,6,1,0,0,19.9,1,0
8,A1_BEGINNER,24,7,ARTS_AND_CRAFTS,A2_ELEMENTARY,2,26,8.09,17,1,1,0.263,24.3,0,0
10,A2_ELEMENTARY,18,0, NATURE_VOCAB_WALK ,A1_BEGINNER,2.5,0,27.82,17,0,0,0,17.4,0,0
13,B1_INTERMEDIATE,18,3,STORYTELLING_PARK,B1_INTERMEDIATE,1.5,39,2.71,23,1,0,0,14.5,1,1
7,A1_BEGINNER,2,0,ENGLISH_CAMP_DAY,A2_ELEMENTARY,1,0,2.42,11,0,1,0.679,23.9,0,1
13,B1_INTERMEDIATE,23,0,treasure_hunt,ALL_LEVELS,1,21,14.99,10,0,0,0.178,16.1,1,1
9,A1_BEGINNER,1,0,NATURE_VOCAB_WALK,?,2.5,0,12.72,12,0,0,0.284,15.2,1,1
?,B1_INTERMEDIATE,3,1,NATURE_VOCAB_WALK,ALL_LEVELS,3,71,10.88,10,0,1,0.307,35.9,1,0
6,A1_BEGINNER,30,8,NATURE_VOCAB_WALK,A2_ELEMENTARY,2,57,7,13,0,0,0.482,23.3,0,0
12,B1_INTERMEDIATE,4,1,OUTDOOR_THEATER,A1_BEGINNER,2,0,9.7,4,0,0,0.278,26.1,0,1
,A1_BEGINNER,2,1,SPORTS_AND_ENGLISH,ALL_LEVELS,2,73,20.35,17,0,0,0.357,25.5,1,0
9,N/A,14,6,ENGLISH_CAMP_DAY,ALL_LEVELS,3,31,13.68,14,0,0,0.586,16.6,0,0
6,A1_BEGINNER,28,6, STORYTELLING_PARK ,ALL_LEVELS,1,47,2.25,6,1,0,0.226,26.5,1,1
11,B1_INTERMEDIATE,11,4,OUTDOOR_THEATER,B1_INTERMEDIATE,2,0,17,19,0,1,0.48,18.5,1,0
9,B1_INTERMEDIATE,3,1,SPORTS_AND_ENGLISH,B1_INTERMEDIATE,2,73,10.82,1,1,0,0.577,32.4,1,1
9,A2_ELEMENTARY,8,0,ARTS_AND_CRAFTS,A2_ELEMENTARY,4,74,1.81,5,1,0,0.664,11.5,1,1
13,B1_INTERMEDIATE,7,3,FIELD_TRIP,B1_INTERMEDIATE,3,18,2.77,7,1,0,0.146,25.1,1,0
9,A2_ELEMENTARY,18,11,FIELD_TRIP,A1_BEGINNER,2,0,4.47,13,1,0,0.63,32.9,1,0
12,B1_INTERMEDIATE,8,2,OUTDOOR_THEATER,A2_ELEMENTARY,2,0,12.13,9,1,0,0.355,28,0,0
13,B1_INTERMEDIATE,5,2,OUTDOOR_THEATER,ALL_LEVELS,2,0,1.44,9,1,1,0.576,4.9,1,1
7,A1_BEGINNER,0,0,NATURE_VOCAB_WALK,A1_BEGINNER,2.5,45,5.28,19,1,0,0.52,24.6,1,1
11,A2_ELEMENTARY,7,2,FIELD_TRIP,ALL_LEVELS,4,0,27.57,3,0,0,0.579,23.5,1,0
6,A1_BEGINNER,13,4,ROLE_PLAY_GAMES,B1_INTERMEDIATE,1.5,78,6.87,13,0,0,0,17,0,0
12,B1_INTERMEDIATE,23,7, FIELD_TRIP ,A1_BEGINNER,1.5,0,10.39,1,0,1,0,37.3,1,1
6,A1_BEGINNER,5,1,FIELD_TRIP,ALL_LEVELS,1,60,0.02,17,0,0,0.558,30.4,1,0
12,B1_INTERMEDIATE,27,7,TREASURE_HUNT,A1_BEGINNER,2,0,7.73,5,1,0,0.297,19.9,0,1
11,A2_ELEMENTARY,5,2,OUTDOOR_THEATER,B1_INTERMEDIATE,4,0,0.25,5,1,1,0,13.3,1,1
6,A2_ELEMENTARY,17,8,STORYTELLING_PARK,ALL_LEVELS,1,0,10,9,0,0,0,26.3,0,0
10,A1_BEGINNER,20,7,ARTS_AND_CRAFTS,A1_BEGINNER,4,0,6.39,12,0,0,0.639,21.1,1,0
13,B1_INTERMEDIATE,19,1,TREASURE_HUNT,B1_INTERMEDIATE,2.5,54,7.07,3,0,1,0.468,38.1,1,1
11,B1_INTERMEDIATE,7,2,NATURE_VOCAB_WALK,A2_ELEMENTARY,1.5,35,15.44,8,1,0,0.163,24.5,1,1
11,A2_ELEMENTARY,1,1,FIELD_TRIP,ALL_LEVELS,3,43,NA,7,0,0,0.207,39.5,0,0
13,A2_ELEMENTARY,3,0,FIELD_TRIP,B1_INTERMEDIATE,2.5,48,0.63,1,0,0,0.586,11.6,1,1
